Pictorem Scraper Data

Name,Tag #,Image URL,Product Link
"Golden Print","#122608","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Golden Print.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122608.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122608.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122608.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122608.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122608.jpg","https://www.pictorem.com/122608/Golden Print.html"
"Guadeloupe","#122607","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Guadeloupe.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122607.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122607.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122607.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122607.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122607.jpg","https://www.pictorem.com/122607/Guadeloupe.html"
"distortion","#122606","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_distortion.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122606.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122606.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122606.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122606.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122606.jpg","https://www.pictorem.com/122606/distortion.html"
"Our Night","#122605","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Our Night.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122605.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122605.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122605.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122605.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122605.jpg","https://www.pictorem.com/122605/Our Night.html"
"Great Mountain","#122604","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Great Mountain.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122604.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122604.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122604.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122604.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122604.jpg","https://www.pictorem.com/122604/Great Mountain.html"
"Falling","#122603","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Falling.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122603.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122603.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122603.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122603.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122603.jpg","https://www.pictorem.com/122603/Falling.html"
"Arctic","#122602","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Arctic.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122602.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122602.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122602.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122602.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122602.jpg","https://www.pictorem.com/122602/Arctic.html"
"WaterFall","#122601","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_WaterFall.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122601.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122601.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122601.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122601.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122601.jpg","https://www.pictorem.com/122601/WaterFall.html"
"rhino BW","#122600","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_rhino BW.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122600.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122600.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122600.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122600.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122600.jpg","https://www.pictorem.com/122600/rhino BW.html"
"Forrest","#122599","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Forrest.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122599.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122599.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122599.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122599.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122599.jpg","https://www.pictorem.com/122599/Forrest.html"
