Pictorem Scraper Data

Name,Tag #,Image URL,Product Link
"Temptations of a False God","#450679","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Temptations_Of_A_False_God_MASTER_2021_300dpi.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_450679.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/450679.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_450679.png,https://img.cdn-pictorem.com/uploads/split/1/split3_450679.jpg","https://www.pictorem.com/450679/Temptations of a False God"
"Through a Moonlit Dream","#450529","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_through_a_moonlit_dream_master_2022_24x30_1644021092.1501.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_450529.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/450529.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_450529.png,https://img.cdn-pictorem.com/uploads/split/1/split3_450529.jpg","https://www.pictorem.com/450529/Through a Moonlit Dream"
"Restrictions","#450488","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Restrictions_MASTER_2021.jpg,https://img.cdn-pictorem.com/uploads/userpreview/450488.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/450488.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_450488.png,https://img.cdn-pictorem.com/uploads/split/1/split3_450488.jpg","https://www.pictorem.com/450488/Restrictions"
"Turtle Canyon","#450487","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Turtle_Canyon_Master_2021_Pictorem_300dpi.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_450487.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/450487.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_450487.png,https://img.cdn-pictorem.com/uploads/split/1/split3_450487.jpg","https://www.pictorem.com/450487/Turtle Canyon"
"Rainbow Dolphins Into the Light","#450486","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Rainbow_Dolphins_Pictorem_Draft_2_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_450486.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/450486.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_450486.png,https://img.cdn-pictorem.com/uploads/split/1/split3_450486.jpg","https://www.pictorem.com/450486/Rainbow Dolphins Into the Light"
"Marauders of the Sea","#450481","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Mauraders_Of_The_Sea_MASTER_36x40_2021.jpg,https://img.cdn-pictorem.com/uploads/userpreview/450481.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/450481.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_450481.png,https://img.cdn-pictorem.com/uploads/split/1/split3_450481.jpg","https://www.pictorem.com/450481/Marauders of the Sea"
"In the Company of Giants","#449416","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_ICOG_36x48_2021_300dpi.jpg,https://img.cdn-pictorem.com/uploads/userpreview/449416.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/449416.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_449416.png,https://img.cdn-pictorem.com/uploads/split/1/split3_449416.jpg","https://www.pictorem.com/449416/In the Company of Giants"
"Explorers","#448729","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Explorers_MASTER_11000x8880.jpg,https://img.cdn-pictorem.com/uploads/userpreview/448729.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/448729.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_448729.png,https://img.cdn-pictorem.com/uploads/split/1/split3_448729.jpg","https://www.pictorem.com/448729/Explorers"
"Heroes of the Healing Arts","#447251","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_heroes_of_the_healing_arts_2022_300_pictorem_1657028356.718.jpg,https://img.cdn-pictorem.com/uploads/userpreview/447251.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/447251.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_447251.png","https://www.pictorem.com/447251/Heroes of the Healing Arts"
"Dollhouse","#712231","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Doll_House_MASTER_36x29_2023_300dpi.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_712231.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/712231.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_712231.png","https://www.pictorem.com/712231/Dollhouse"
